"domain","available","isPremiumName","premiumRegistrationPrice","premiumRenewalPrice","icannFee","eapFee"
"aahclay.com","true","false","0","0","0","0.0"
"abaciclay.com","true","false","0","0","0","0.0"
"abackclay.com","true","false","0","0","0","0.0"
"abaftclay.com","true","false","0","0","0","0.0"
"abaseclay.com","true","false","0","0","0","0.0"
"abashclay.com","true","false","0","0","0","0.0"
"abateclay.com","true","false","0","0","0","0.0"
"abbeyclay.com","true","false","0","0","0","0.0"
"abbotclay.com","true","false","0","0","0","0.0"
"abcclay.com","false","false","0","0","0","0.0"
"abeamclay.com","true","false","0","0","0","0.0"
"abedclay.com","true","false","0","0","0","0.0"
"abetclay.com","true","false","0","0","0","0.0"
"abetsclay.com","true","false","0","0","0","0.0"
"abideclay.com","true","false","0","0","0","0.0"
"ableclay.com","true","false","0","0","0","0.0"
"ablerclay.com","true","false","0","0","0","0.0"
"ablyclay.com","true","false","0","0","0","0.0"
"abmclay.com","false","false","0","0","0","0.0"
"abodeclay.com","true","false","0","0","0","0.0"
"abortclay.com","true","false","0","0","0","0.0"
"aboutclay.com","false","false","0","0","0","0.0"
"aboveclay.com","true","false","0","0","0","0.0"
"absclay.com","true","false","0","0","0","0.0"
"abutclay.com","true","false","0","0","0","0.0"
"abutsclay.com","true","false","0","0","0","0.0"
"abuzzclay.com","true","false","0","0","0","0.0"
"abyssclay.com","true","false","0","0","0","0.0"
"aceclay.com","false","false","0","0","0","0.0"
"acedclay.com","true","false","0","0","0","0.0"
"acesclay.com","true","false","0","0","0","0.0"
"acheclay.com","true","false","0","0","0","0.0"
"achedclay.com","true","false","0","0","0","0.0"
"achesclay.com","true","false","0","0","0","0.0"
"achooclay.com","true","false","0","0","0","0.0"
"achyclay.com","true","false","0","0","0","0.0"
"acidclay.com","true","false","0","0","0","0.0"
"acidsclay.com","true","false","0","0","0","0.0"
"acingclay.com","true","false","0","0","0","0.0"
"acluclay.com","true","false","0","0","0","0.0"
"acmeclay.com","false","false","0","0","0","0.0"
"acmesclay.com","true","false","0","0","0","0.0"
"acneclay.com","false","false","0","0","0","0.0"
"acornclay.com","true","false","0","0","0","0.0"
"acreclay.com","true","false","0","0","0","0.0"
"acresclay.com","true","false","0","0","0","0.0"
"acridclay.com","true","false","0","0","0","0.0"
"actclay.com","true","false","0","0","0","0.0"
"actedclay.com","true","false","0","0","0","0.0"
"actorclay.com","true","false","0","0","0","0.0"
"actsclay.com","true","false","0","0","0","0.0"
"acuteclay.com","true","false","0","0","0","0.0"
"adageclay.com","true","false","0","0","0","0.0"
"adamclay.com","false","false","0","0","0","0.0"
"adaptclay.com","true","false","0","0","0","0.0"
"addclay.com","true","false","0","0","0","0.0"
"addedclay.com","true","false","0","0","0","0.0"
"adderclay.com","true","false","0","0","0","0.0"
"addleclay.com","true","false","0","0","0","0.0"
"addsclay.com","true","false","0","0","0","0.0"
"adeptclay.com","true","false","0","0","0","0.0"
"adieuclay.com","true","false","0","0","0","0.0"
"adiosclay.com","true","false","0","0","0","0.0"
"admanclay.com","true","false","0","0","0","0.0"
"admenclay.com","true","false","0","0","0","0.0"
"adminclay.com","true","false","0","0","0","0.0"
"admitclay.com","true","false","0","0","0","0.0"
"adoclay.com","true","false","0","0","0","0.0"
"adobeclay.com","true","false","0","0","0","0.0"
"adoptclay.com","false","false","0","0","0","0.0"
"adoreclay.com","true","false","0","0","0","0.0"
"adornclay.com","true","false","0","0","0","0.0"
"adsclay.com","true","false","0","0","0","0.0"
"adultclay.com","true","false","0","0","0","0.0"
"adzclay.com","true","false","0","0","0","0.0"
"adzeclay.com","true","false","0","0","0","0.0"
"adzesclay.com","true","false","0","0","0","0.0"
"aegisclay.com","true","false","0","0","0","0.0"
"aeonclay.com","true","false","0","0","0","0.0"
"aeonsclay.com","true","false","0","0","0","0.0"
"aerieclay.com","true","false","0","0","0","0.0"
"afarclay.com","true","false","0","0","0","0.0"
"affixclay.com","true","false","0","0","0","0.0"
"afireclay.com","true","false","0","0","0","0.0"
"afootclay.com","true","false","0","0","0","0.0"
"afoulclay.com","true","false","0","0","0","0.0"
"afroclay.com","false","false","0","0","0","0.0"
"aftclay.com","true","false","0","0","0","0.0"
"afterclay.com","true","false","0","0","0","0.0"
"againclay.com","true","false","0","0","0","0.0"
"agapeclay.com","false","false","0","0","0","0.0"
"agarclay.com","true","false","0","0","0","0.0"
"agateclay.com","true","false","0","0","0","0.0"
"agaveclay.com","false","false","0","0","0","0.0"
"ageclay.com","true","false","0","0","0","0.0"
"agedclay.com","false","false","0","0","0","0.0"
"agentclay.com","false","false","0","0","0","0.0"
"agesclay.com","true","false","0","0","0","0.0"
"aggroclay.com","true","false","0","0","0","0.0"
"agileclay.com","true","false","0","0","0","0.0"
"airedclay.com","true","false","0","0","0","0.0"
"airsclay.com","true","false","0","0","0","0.0"
"airyclay.com","false","false","0","0","0","0.0"
"aisleclay.com","true","false","0","0","0","0.0"
"aitchclay.com","true","false","0","0","0","0.0"
"ajarclay.com","true","false","0","0","0","0.0"
"akinclay.com","true","false","0","0","0","0.0"
"alarmclay.com","true","false","0","0","0","0.0"
"alasclay.com","true","false","0","0","0","0.0"
"albumclay.com","true","false","0","0","0","0.0"
"alderclay.com","true","false","0","0","0","0.0"
"aleclay.com","false","false","0","0","0","0.0"
"alertclay.com","true","false","0","0","0","0.0"
"alesclay.com","true","false","0","0","0","0.0"
"algaclay.com","true","false","0","0","0","0.0"
"algaeclay.com","true","false","0","0","0","0.0"
"algalclay.com","true","false","0","0","0","0.0"
